Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,Staff2,Comstaff1,Comstaff2,TillCode,UNIKEY
33458,05/02/2025,Blowdry,COLG01,BECKY,1,60,3,4.8,,100,0,,
33461,05/02/2025,Type 2 Haircut,CHOK04,JJ,1,90,4.5,7.2,,100,0,,
33462,05/02/2025,Type 2 Haircut,ROSD01,JJ,1,125,6.25,10,,100,0,,
33463,05/02/2025,Type 1 Haircut,REND02,BECKY,1,65,3.25,5.2,,100,0,,
33464,05/02/2025,Blowdry,BARS01,ANTONELLA,1,60,3,4.8,,100,0,,
33465,05/02/2025,misc retail,WALK_IN,JJ,1,28.8,1.44,2.304,,0,0,,
33466,05/02/2025,Root Touch-up,DUNA01,OLGA,1,90,4.5,7.2,,100,0,,
33466,05/02/2025,Blowdry,DUNA01,MAYUMI,1,55,2.75,4.4,,100,0,,
33467,05/02/2025,Type 1 Haircut,TSAR01,JJ,1,75,3.75,6,,100,0,,
33469,05/02/2025,Root Touch-up,MILL03,ANTONELLA,1,90,4.5,7.2,,100,0,,
33469,05/02/2025,Milbon Treatment Add-on,MILL03,ANTONELLA,1,65,3.25,5.2,,100,0,,
33469,05/02/2025,olaplex6 bond smoother,MILL03,ANTONELLA,1,32.8,1.64,2.624,,0,0,,
33470,05/02/2025,Type 2 Haircut,TUIM01,BECKY,1,100,5,8,,100,0,,
33471,05/02/2025,Type 1 Haircut,LEHJ01,JJ,1,70,3.5,5.6,,100,0,,
33472,05/02/2025,Root Touch-up,CHIM04,ANTONELLA,1,90,4.5,7.2,,100,0,,
33472,05/02/2025,Type 2 Haircut,CHIM04,ANTONELLA,1,100,5,8,,100,0,,
33473,05/02/2025,Milbon Treatment Add-on,VELJ01,OLGA,1,65,3.25,5.2,,100,0,,
33473,05/02/2025,Blowdry,VELJ01,OLGA,1,55,2.75,4.4,,100,0,,
33473,05/02/2025,misc retail,VELJ01,OLGA,1,20.72,1.036,1.6576,,0,0,,
33474,05/02/2025,Type 1 Haircut,CAPJ01,ANTONELLA,1,80,4,6.4,,100,0,,
33475,05/02/2025,Blowdry,FISM01,OLGA,1,55,2.75,4.4,,100,0,,
33475,05/02/2025,Root Touch-up,FISM01,JOANNE,1,90,4.5,7.2,,100,0,,
33476,05/02/2025,Type 2 Haircut,BECS01,BECKY,1,100,5,8,,100,0,,
33477,05/02/2025,Type 2 Haircut,ROBT01,JJ,1,125,6.25,10,,100,0,,
33477,05/02/2025,Root Touch-up,ROBT01,JOANNE,1,90,4.5,7.2,,100,0,,
33478,05/02/2025,Type 2 Haircut,PALC02,JJ,1,125,6.25,10,,100,0,,
33479,05/02/2025,Type 1 Haircut,FERJ01,ANTONELLA,1,80,4,6.4,,100,0,,
33480,05/02/2025,Type 2 Haircut,HENS03,ANTONELLA,1,100,5,8,,100,0,,
33480,05/02/2025,misc retail,HENS03,ANTONELLA,2,71.5,3.575,5.72,,0,0,,
33481,05/02/2025,Type 2 Haircut,REIL01,JJ,1,125,6.25,10,,100,0,,
33482,05/02/2025,Type 2 Haircut,BARS07,MAYUMI,1,90,4.5,7.2,,100,0,,
33483,05/02/2025,Type 1 Haircut,HOLP01,JJ,1,55,2.75,4.4,,100,0,,
33483,05/02/2025,Blowdry,HOLA02,JJ,1,55,2.75,4.4,,100,0,,
33484,05/02/2025,Blowdry,ALI|01,BECKY,1,60,3,4.8,,100,0,,
33485,05/02/2025,Type 1 Haircut,MCCB01,BECKY,1,65,3.25,5.2,,100,0,,
33486,05/02/2025,Blowdry,GRIF01,JJ,1,70,3.5,5.6,,100,0,,
33487,05/02/2025,Blowdry,ALIP01,ANTONELLA,1,60,3,4.8,,100,0,,
33488,05/02/2025,Toner Add-on,MARL06,OLGA,1,50,2.5,4,,100,0,,
33488,05/02/2025,Metal Detox,MARL06,OLGA,1,35,1.75,2.8,,100,0,,
33488,05/02/2025,Additional colour,MARL06,OLGA,1,25,1.25,2,,100,0,,
33488,05/02/2025,full head highlights,MARL06,OLGA,1,170,8.5,13.6,,100,0,,
33488,05/02/2025,misc retail,MARL06,OLGA,1,76.8,3.84,6.144,,0,0,,
33488,05/02/2025,Consultation,MARL06,HOUSE,1,-280,-14,-22.4,,100,0,,
33488,05/02/2025,misc retail,MARL06,HOUSE,1,-76.8,-3.84,-6.144,,0,0,,
33489,05/02/2025,Type 2 Haircut,MARM05,MAYUMI,1,90,4.5,7.2,,100,0,,
33490,05/02/2025,Blowdry,BROF01,BECKY,1,60,3,4.8,,100,0,,
33490,05/02/2025,Accent High Lights(under 15foi,BROF01,JOANNE,1,100,5,8,,100,0,,
33490,05/02/2025,Root Touch-up,BROF01,JOANNE,1,90,4.5,7.2,,100,0,,
33490,05/02/2025,Additional colour,BROF01,JOANNE,1,11.05,0.5525,0.884,,100,0,,
33492,05/03/2025,Type 2 Haircut,LEED02,ASAMI,1,90,4.5,7.2,,100,0,,
33493,05/03/2025,Type 2 Haircut,NICC01,MAYUMI,1,90,4.5,7.2,,100,0,,
33494,05/03/2025,Type 2 Haircut,ELLP01,ANTONELLA,1,100,5,8,,100,0,,
33495,05/03/2025,misc retail,WALK_IN,ASAMI,1,26.8,1.34,2.144,,0,0,,
33496,05/03/2025,Blow dry bundle 5+1,WONM02,JJ,1,325,16.25,26,,100,0,,
33497,05/03/2025,Color full color,BENS02,JOANNE,1,140,7,11.2,,100,0,,
33497,05/03/2025,misc retail,BENS02,JOANNE,1,39.2,1.96,3.136,,0,0,,
33497,05/03/2025,misc retail,BENS02,JOANNE,1,33.6,1.68,2.688,,0,0,,
33497,05/03/2025,misc retail,BENS02,JOANNE,1,30.4,1.52,2.432,,0,0,,
33498,05/03/2025,Blowdry,RIHM01,MAYUMI,1,55,2.75,4.4,,100,0,,
33498,05/03/2025,Root Touch-up,RIHM01,JOANNE,1,90,4.5,7.2,,100,0,,
33498,05/03/2025,Additional colour,RIHM01,JOANNE,1,25,1.25,2,,100,0,,
33499,05/03/2025,Type 1 Haircut,WONS01,ASAMI,1,40,2,3.2,,100,0,,
33500,05/03/2025,Type 2 Haircut,STEC02,JJ,1,125,6.25,10,,100,0,,
33502,05/03/2025,Blowdry,KUZD01,OLGA,1,55,2.75,4.4,,100,0,,
33502,05/03/2025,Milbon Treatment Add-on,KUZD01,OLGA,1,65,3.25,5.2,,100,0,,
33502,05/03/2025,Color full color,KUZD01,OLGA,1,140,7,11.2,,100,0,,
33502,05/03/2025,misc retail,KUZD01,OLGA,1,20.72,1.036,1.6576,,0,0,,
33505,05/03/2025,Root Touch-up,WHID01,ANTONELLA,1,90,4.5,7.2,,100,0,,
33505,05/03/2025,Type 2 Haircut,WHID01,ANTONELLA,1,100,5,8,,100,0,,
33506,05/03/2025,Type 1 Haircut,LIUA01,ASAMI,1,50,2.5,4,,100,0,,
33507,05/03/2025,Type 2 Haircut,GAGC01,JJ,1,125,6.25,10,,100,0,,
33507,05/03/2025,misc retail,GAGC01,JJ,1,39.2,1.96,3.136,,0,0,,
33508,05/03/2025,Blowdry,MCGC03,MAYUMI,1,55,2.75,4.4,,100,0,,
33509,05/03/2025,Type 2 Haircut,BUSA01,ANTONELLA,1,100,5,8,,100,0,,
33509,05/03/2025,Consultation,BUSA01,HOUSE,1,-100,-5,-8,,100,0,,
33510,05/03/2025,Blowdry,GOUE02,ASAMI,1,55,2.75,4.4,,100,0,,
33510,05/03/2025,Toner Add-on,GOUE02,SARAH,1,50,2.5,4,,100,0,,
33510,05/03/2025,Balayage Full,GOUE02,SARAH,1,240,12,19.2,,100,0,,
33511,05/03/2025,Type 2 Haircut,LANN01,RYAN,1,65,3.25,5.2,,100,0,,
33511,05/03/2025,Consultation,LANN01,HOUSE,1,-65,-3.25,-5.2,,100,0,,
33512,05/03/2025,Type 1 Haircut,COHA01,ANTONELLA,1,45,2.25,3.6,,100,0,,
33512,05/03/2025,misc retail,COHA01,ANTONELLA,1,56,2.8,4.48,,0,0,,
33514,05/03/2025,Partial Head highlights,GORS01,SARAH,1,130,6.5,10.4,,100,0,,
33514,05/03/2025,Toner Add-on,GORS01,SARAH,1,50,2.5,4,,100,0,,
33515,05/03/2025,Blowdry,WOOJ01,JJ,1,70,3.5,5.6,,100,0,,
33516,05/03/2025,Type 1 Haircut,LIUJ01,ASAMI,1,40,2,3.2,,100,0,,
33517,05/03/2025,Type 2 Haircut,NIKM02,MAYUMI,1,90,4.5,7.2,,100,0,,
33518,05/03/2025,Type 2 Haircut,MCEM01,ANTONELLA,1,100,5,8,,100,0,,
33519,05/02/2025,Partial Head highlights,VINH01,JOANNE,1,150,7.5,12,,100,0,,
33519,05/02/2025,misc retail,VINH01,JOANNE,1,44.3,2.215,3.544,,0,0,,
33520,05/03/2025,Toner Add-on,VANJ04,OLGA,1,50,2.5,4,,100,0,,
33520,05/03/2025,Additional colour,VANJ04,OLGA,1,25,1.25,2,,100,0,,
33520,05/03/2025,Metal Detox,VANJ04,OLGA,1,35,1.75,2.8,,100,0,,
33520,05/03/2025,Balayage Full,VANJ04,OLGA,1,240,12,19.2,,100,0,,
33521,05/03/2025,Root Touch-up,BHAA04,MAYUMI,1,90,4.5,7.2,,100,0,,
33521,05/03/2025,Type 2 Haircut,BHAA04,MAYUMI,1,90,4.5,7.2,,100,0,,
33521,05/03/2025,Consultation,BHAA04,HOUSE,1,-180,-9,-14.4,,100,0,,
33522,05/03/2025,Type 2 Haircut,KIMY03,JJ,1,125,6.25,10,,100,0,,
33523,05/03/2025,Toner Add-on,GLOC01,SARAH,1,50,2.5,4,,100,0,,
33523,05/03/2025,Blowdry,GLOC01,MAYUMI,1,55,2.75,4.4,,100,0,,
33523,05/03/2025,Olaplex,GLOC01,SARAH,1,35,1.75,2.8,,100,0,,
33523,05/03/2025,full head highlights,GLOC01,SARAH,1,170,8.5,13.6,,100,0,,
33524,05/03/2025,Milbon Treatment Add-on,TALB01,OLGA,1,65,3.25,5.2,,100,0,,
33524,05/03/2025,Type 2 Haircut,TALB01,OLGA,1,90,4.5,7.2,,100,0,,
33524,05/03/2025,misc retail,TALB01,OLGA,1,20.72,1.036,1.6576,,0,0,,
33525,05/03/2025,Type 2 Haircut,SAKR02,ASAMI,1,80,4,6.4,,100,0,,
33525,05/03/2025,perm,SAKR02,ASAMI,1,160,8,12.8,,100,0,,
33525,05/03/2025,Milbon Treatment Add-on,SAKR02,ASAMI,1,65,3.25,5.2,,100,0,,
33526,05/01/2025,Root Touch-up,FATT01,SARAH,1,90,4.5,7.2,,100,0,,
33526,05/01/2025,Type 2 Haircut,FATT01,JJ,1,125,6.25,10,,100,0,,
33527,05/01/2025,Type 2 Haircut,ALOK01,MAYUMI,1,90,4.5,7.2,,100,0,,
33528,05/01/2025,Type 2 Haircut,SHEM02,JJ,1,125,6.25,10,,100,0,,
33529,05/01/2025,Type 1 Haircut,WARN03,MAYUMI,1,55,2.75,4.4,,100,0,,
33530,05/01/2025,Type 2 Haircut,NASA01,ASAMI,1,90,4.5,7.2,,100,0,,
33531,05/01/2025,Type 1 Haircut,MELE01,BECKY,1,65,3.25,5.2,,100,0,,
33532,05/01/2025,Type 1 Haircut,ZHUH01,MAYUMI,1,55,2.75,4.4,,100,0,,
33533,05/01/2025,Type 2 Haircut,JARM01,JJ,1,125,6.25,10,,100,0,,
33534,05/01/2025,Root Touch-up,GANJ01,SARAH,1,90,4.5,7.2,,100,0,,
33534,05/01/2025,Partial Head highlights,GANJ01,SARAH,1,130,6.5,10.4,,100,0,,
33534,05/01/2025,Toner Add-on,GANJ01,SARAH,1,50,2.5,4,,100,0,,
33535,05/01/2025,Type 1 Haircut,POOD01,JJ,1,70,3.5,5.6,,100,0,,
33536,05/01/2025,Type 2 Haircut,YOUA01,BECKY,1,100,5,8,,100,0,,
33537,05/01/2025,Type 1 Haircut,MORE02,JJ,1,80,4,6.4,,100,0,,
33538,05/01/2025,Type 2 Haircut,SENM01,BECKY,1,100,5,8,,100,0,,
33539,05/01/2025,Type 2 Haircut,JASA01,JJ,1,125,6.25,10,,100,0,,
33540,05/01/2025,Type 2 Haircut,BERH01,JJ,1,125,6.25,10,,100,0,,
33541,05/01/2025,Type 1 Haircut,DEME02,ANTONELLA,1,80,4,6.4,,100,0,,
33542,05/01/2025,Type 2 Haircut,BROS05,ANTONELLA,1,100,5,8,,100,0,,
33543,05/01/2025,Type 2 Haircut,MEDJ02,MAYUMI,1,90,4.5,7.2,,100,0,,
33544,05/01/2025,Type 2 Haircut,WESH01,JJ,1,120,6,9.6,,100,0,,
33545,05/01/2025,Blowdry,MCGD01,ASAMI,1,55,2.75,4.4,,100,0,,
33546,05/01/2025,Type 1 Haircut,GILM01,ANTONELLA,1,80,4,6.4,,100,0,,
33547,05/01/2025,Type 1 Haircut,HARJ01,JJ,1,80,4,6.4,,100,0,,
33548,05/01/2025,Blowdry,?A01,ASAMI,1,55,2.75,4.4,,100,0,,
33549,05/01/2025,Type 2 Haircut,WARL02,ANTONELLA,1,100,5,8,,100,0,,
33549,05/01/2025,Partial Head highlights,WARL02,JOANNE,1,150,7.5,12,,100,0,,
33550,05/01/2025,Type 1 Haircut,IRWD01,JJ,1,80,4,6.4,,100,0,,
33551,05/01/2025,Type 2 Haircut,MEDY01,BECKY,1,100,5,8,,100,0,,
33551,05/01/2025,Toner Add-on,MEDY01,SARAH,1,50,2.5,4,,100,0,,
33551,05/01/2025,Partial Head highlights,MEDY01,SARAH,1,130,6.5,10.4,,100,0,,
33552,05/01/2025,Type 2 Haircut,POSA02,MAYUMI,1,90,4.5,7.2,,100,0,,
33552,05/01/2025,Root Touch-up,POSA02,MAYUMI,1,90,4.5,7.2,,100,0,,
33553,05/01/2025,misc retail,WALK_IN,JJ,1,38.4,1.92,3.072,,0,0,,
33555,05/01/2025,Type 2 Haircut,SOLB01,JJ,1,125,6.25,10,,100,0,,
33555,05/01/2025,Color full color,SOLB01,JOANNE,1,135,6.75,10.8,,100,0,,
33557,05/01/2025,Blowdry,SHPO01,ASAMI,1,55,2.75,4.4,,100,0,,
33557,05/01/2025,Milbon Treatment Add-on,SHPO01,ASAMI,1,65,3.25,5.2,,100,0,,
33557,05/01/2025,flat iron G7,SHPO01,ASAMI,1,120,6,9.6,,0,0,,
33558,05/01/2025,Additional colour,BROT01,SARAH,1,25,1.25,2,,100,0,,
33558,05/01/2025,Root Touch-up,BROT01,SARAH,1,90,4.5,7.2,,100,0,,
33558,05/01/2025,Milbon Treatment Stand Alone,BROT01,SARAH,1,100,5,8,,100,0,,
33559,05/01/2025,Color full color,YANC01,JOANNE,1,140,7,11.2,,100,0,,
33561,05/01/2025,Partial Head highlights,DOYS01,JOANNE,1,150,7.5,12,,100,0,,
33562,04/30/2025,Type 2 Haircut,ANDR01,ANTONELLA,1,100,5,8,,100,0,,
33563,04/30/2025,Root Touch-up,COLS01,OLGA,1,90,4.5,7.2,,100,0,,
33563,04/30/2025,Blowdry,COLS01,OLGA,1,55,2.75,4.4,,100,0,,
33564,04/30/2025,Type 2 Haircut,VINC01,JJ,1,125,6.25,10,,100,0,,
33565,04/30/2025,Type 2 Haircut,ARRM01,JJ,1,125,6.25,10,,100,0,,
33565,04/30/2025,Root Touch-up,ARRM01,OLGA,1,90,4.5,7.2,,100,0,,
33566,04/30/2025,Type 2 Haircut,KHOS01,ASAMI,1,90,4.5,7.2,,100,0,,
33566,04/30/2025,misc retail,KHOS01,ASAMI,1,33.98,1.699,2.7184,,0,0,,
33567,04/30/2025,Type 2 Haircut,FEND01,BECKY,1,100,5,8,,100,0,,
33568,04/30/2025,Blowdry,MICM02,OLGA,1,55,2.75,4.4,,100,0,,
33568,04/30/2025,Additional colour,MICM02,OLGA,1,25,1.25,2,,100,0,,
33568,04/30/2025,Root Touch-up,MICM02,OLGA,1,90,4.5,7.2,,100,0,,
33569,04/30/2025,Type 1 Haircut,STER01,JJ,1,80,4,6.4,,100,0,,
33570,04/30/2025,Type 1 Haircut,MUIK02,BECKY,1,65,3.25,5.2,,100,0,,
33571,04/30/2025,Root Touch-up,LEVM02,SARAH,1,90,4.5,7.2,,100,0,,
33572,04/30/2025,Type 2 Haircut,HAYJ01,JJ,1,125,6.25,10,,100,0,,
33573,04/30/2025,Type 2 Haircut,MCGC04,ASAMI,1,90,4.5,7.2,,100,0,,
33575,04/30/2025,Toner Add-on,MCCC01,SARAH,1,50,2.5,4,,100,0,,
33575,04/30/2025,Blowdry,MCCC01,ANTONELLA,1,60,3,4.8,,100,0,,
33575,04/30/2025,Fringe cut,MCCC01,ANTONELLA,1,20,1,1.6,,100,0,,
33575,04/30/2025,Partial Head highlights,MCCC01,SARAH,1,130,6.5,10.4,,100,0,,
33576,04/30/2025,Type 1 Haircut,BERI01,JJ,1,80,4,6.4,,100,0,,
33577,04/30/2025,Type 1 Haircut,TRES01,BECKY,1,65,3.25,5.2,,100,0,,
33578,04/30/2025,Type 2 Haircut,AINM01,JJ,1,125,6.25,10,,100,0,,
33579,04/30/2025,Type 2 Haircut,MCGA01,JJ,1,125,6.25,10,,100,0,,
33580,04/30/2025,Type 1 Haircut,WONB02,ASAMI,1,40,2,3.2,,100,0,,
33580,04/30/2025,Consultation,WONB02,HOUSE,1,-40,-2,-3.2,,100,0,,
33581,04/30/2025,Type 2 Haircut,SALK02,ANTONELLA,1,100,5,8,,100,0,,
33582,04/30/2025,Blowdry,STER02,BECKY,1,60,3,4.8,,100,0,,
33584,04/30/2025,Toner Add-on,VINC01,OLGA,1,50,2.5,4,,100,0,,
33584,04/30/2025,Root Touch-up,VINC01,OLGA,1,90,4.5,7.2,,100,0,,
33585,04/30/2025,Type 2 Haircut,KIDN02,OLGA,1,90,4.5,7.2,,100,0,,
33586,04/30/2025,Type 2 Haircut,TAYB01,JJ,1,125,6.25,10,,100,0,,
33587,04/30/2025,Type 1 Haircut,LOCG01,JJ,1,80,4,6.4,,100,0,,
33588,04/30/2025,Type 2 Haircut,TOMK01,BECKY,1,100,5,8,,100,0,,
33589,04/30/2025,Type 1 Haircut,JANE01,JJ,1,80,4,6.4,,100,0,,
33590,04/30/2025,Type 1 Haircut,BROC03,ANTONELLA,1,80,4,6.4,,100,0,,
33591,04/30/2025,Type 2 Haircut,ZAHR01,JJ,1,125,6.25,10,,100,0,,
33592,04/30/2025,Toner Add-on,WONH01,SARAH,1,50,2.5,4,,100,0,,
33592,04/30/2025,Root Touch-up,WONH01,SARAH,1,90,4.5,7.2,,100,0,,
33592,04/30/2025,Partial Head highlights,WONH01,SARAH,1,130,6.5,10.4,,100,0,,
33593,04/30/2025,Consultation,MORD03,SARAH,1,0,0,0,,100,0,,
33594,05/06/2025,Root Touch-up,LITJ01,OLGA,1,90,4.5,7.2,,100,0,,
33594,05/06/2025,Blowdry,LITJ01,OLGA,1,55,2.75,4.4,,100,0,,
33594,05/06/2025,misc retail,LITJ01,OLGA,1,32,1.6,2.56,,0,0,,
33594,05/06/2025,misc retail,LITJ01,OLGA,1,20.72,1.036,1.6576,,0,0,,
33595,05/06/2025,Type 2 Haircut,ESKR01,JJ,1,125,6.25,10,,100,0,,
33596,05/06/2025,Blowdry,ALIP01,ASAMI,1,60,3,4.8,,100,0,,
33597,05/06/2025,misc retail,WALK_IN,ANTONELLA,2,78.4,3.92,6.272,,0,0,,
33598,05/06/2025,Type 1 Haircut,SMIL01,JJ,1,70,3.5,5.6,,100,0,,
33600,05/06/2025,Type 2 Haircut,WEEJ01,JJ,1,125,6.25,10,,100,0,,
33601,05/06/2025,Additional colour,MROR01,SARAH,1,25,1.25,2,,100,0,,
33601,05/06/2025,Partial Head highlights,MROR01,SARAH,1,130,6.5,10.4,,100,0,,
33601,05/06/2025,Toner Add-on,MROR01,SARAH,1,50,2.5,4,,100,0,,
33602,05/06/2025,Type 2 Haircut,KIRC01,JJ,1,120,6,9.6,,100,0,,
33604,05/06/2025,Root Touch-up,SUNS01,OLGA,1,90,4.5,7.2,,100,0,,
33605,05/06/2025,Type 2 Haircut,ALLK01,ANTONELLA,1,100,5,8,,100,0,,
33606,05/06/2025,Toner Add-on,GLON01,JOANNE,1,50,2.5,4,,100,0,,
33606,05/06/2025,Root Touch-up,GLON01,JOANNE,1,90,4.5,7.2,,100,0,,
33606,05/06/2025,Blowdry,GLON01,MAYUMI,1,55,2.75,4.4,,100,0,,
33607,05/06/2025,Type 2 Haircut,LEEM01,JJ,1,125,6.25,10,,100,0,,
33608,05/06/2025,Type 2 Haircut,GORS01,ANTONELLA,1,100,5,8,,100,0,,
33609,05/06/2025,Type 2 Haircut,BODC01,MAYUMI,1,90,4.5,7.2,,100,0,,
33610,05/06/2025,Type 2 Haircut,CHAV02,ASAMI,1,90,4.5,7.2,,100,0,,
33611,05/06/2025,Type 2 Haircut,KENF01,JJ,1,125,6.25,10,,100,0,,
33612,05/06/2025,Root Touch-up,TAUS01,ANTONELLA,1,90,4.5,7.2,,100,0,,
33612,05/06/2025,Type 2 Haircut,TAUS01,ANTONELLA,1,100,5,8,,100,0,,
33612,05/06/2025,misc retail,TAUS01,ANTONELLA,1,29.6,1.48,2.368,,0,0,,
33613,05/06/2025,Additional colour,HALJ01,JOANNE,1,25,1.25,2,,100,0,,
33613,05/06/2025,Toner Add-on,HALJ01,JOANNE,1,50,2.5,4,,100,0,,
33613,05/06/2025,full head highlights,HALJ01,JOANNE,1,190,9.5,15.2,,100,0,,
33613,05/06/2025,Additional colour,HALJ01,JOANNE,1,25,1.25,2,,100,0,,
33614,05/06/2025,Type 2 Haircut,WAIS01,ASAMI,1,90,4.5,7.2,,100,0,,
33615,05/06/2025,Toner Add-on,COLL01,OLGA,1,50,2.5,4,,100,0,,
33615,05/06/2025,Additional colour,COLL01,OLGA,1,25,1.25,2,,100,0,,
33615,05/06/2025,Balayage Full,COLL01,OLGA,1,240,12,19.2,,100,0,,
33615,05/06/2025,Metal Detox,COLL01,OLGA,1,35,1.75,2.8,,100,0,,
33617,05/06/2025,Type 1 Haircut,CHOK07,JJ,1,60,3,4.8,,100,0,,
33618,05/06/2025,Type 2 Haircut,HAYK02,MAYUMI,1,90,4.5,7.2,,100,0,,
33619,05/06/2025,Toner Add-on,HALM02,SARAH,1,50,2.5,4,,100,0,,
33619,05/06/2025,Root Touch-up,HALM02,SARAH,1,90,4.5,7.2,,100,0,,
33620,05/06/2025,Type 2 Haircut,BOOS01,MAYUMI,1,90,4.5,7.2,,100,0,,
33621,05/06/2025,Type 2 Haircut,ANDC01,ANTONELLA,1,100,5,8,,100,0,,
33622,05/06/2025,Type 2 Haircut,FULE01,ASAMI,1,90,4.5,7.2,,100,0,,
33622,05/06/2025,Type 1 Haircut,FULW01,ASAMI,1,60,3,4.8,,100,0,,
33623,05/06/2025,Type 1 Haircut,WORW01,JJ,1,80,4,6.4,,100,0,,
33624,05/06/2025,Type 2 Haircut,BAKN01,JJ,1,125,6.25,10,,100,0,,
33624,05/06/2025,Additional colour,BAKN01,OLGA,1,25,1.25,2,,100,0,,
33624,05/06/2025,Root Touch-up,BAKN01,OLGA,1,90,4.5,7.2,,100,0,,
33625,05/06/2025,Toner Add-on,RECM01,JOANNE,1,50,2.5,4,,100,0,,
33625,05/06/2025,Root Touch-up,RECM01,JOANNE,1,90,4.5,7.2,,100,0,,
33625,05/06/2025,Partial Head highlights,RECM01,JOANNE,1,150,7.5,12,,100,0,,
33626,05/06/2025,Type 2 Haircut,COOC02,JJ,1,125,6.25,10,,100,0,,
33689,05/07/2025,Type 2 Haircut,.L01,JJ,1,125,6.25,10,,100,0,,
33690,05/07/2025,Type 1 Haircut,SIDA01,BECKY,1,65,3.25,5.2,,100,0,,
33690,05/07/2025,Root Touch-up,SIDA01,SARAH,1,90,4.5,7.2,,100,0,,
33691,05/07/2025,Root Touch-up,MOIB01,JOANNE,1,90,4.5,7.2,,100,0,,
33691,05/07/2025,Type 2 Haircut,MOIB01,JJ,1,125,6.25,10,,100,0,,
33692,05/07/2025,Type 2 Haircut,RUBS01,OLGA,1,90,4.5,7.2,,100,0,,
33692,05/07/2025,misc retail,RUBS01,OLGA,1,20.72,1.036,1.6576,,0,0,,
33693,05/07/2025,Root Touch-up,AUCB02,SARAH,1,90,4.5,7.2,,100,0,,
33693,05/07/2025,Type 2 Haircut,AUCB02,ANTONELLA,1,100,5,8,,100,0,,
33693,05/07/2025,misc retail,AUCB02,SARAH,1,44.8,2.24,3.584,,0,0,,
33694,05/07/2025,Type 2 Haircut,BRES01,JJ,1,112.5,5.625,9,,100,0,,
33695,05/07/2025,Type 2 Haircut,KEML01,ASAMI,1,90,4.5,7.2,,100,0,,
33696,05/07/2025,Type 2 Haircut,SHIG01,JJ,1,125,6.25,10,,100,0,,
33697,05/07/2025,Type 2 Haircut,BRAS02,BECKY,1,100,5,8,,100,0,,
33697,05/07/2025,Color full color,BRAS02,JOANNE,1,140,7,11.2,,100,0,,
33698,05/07/2025,Type 2 Haircut,CLAH01,ANTONELLA,1,100,5,8,,100,0,,
33699,05/07/2025,Toner Add-on,POPV01,JOANNE,1,50,2.5,4,,100,0,,
33699,05/07/2025,Partial Head highlights,POPV01,JOANNE,1,150,7.5,12,,100,0,,
33699,05/07/2025,misc retail,POPV01,OLGA,1,20.72,1.036,1.6576,,0,0,,
33700,05/07/2025,Partial Head highlights,KHON01,SARAH,1,130,6.5,10.4,,100,0,,
33700,05/07/2025,Toner Add-on,KHON01,SARAH,1,50,2.5,4,,100,0,,
33701,05/07/2025,Type 2 Haircut,COCF01,JJ,1,125,6.25,10,,100,0,,
33701,05/07/2025,Root Touch-up,COCF01,SARAH,1,90,4.5,7.2,,100,0,,
33702,05/07/2025,Type 1 Haircut,MANL01,JJ,1,80,4,6.4,,100,0,,
33703,05/07/2025,Type 2 Haircut,ADDM01,ANTONELLA,1,100,5,8,,100,0,,
33703,05/07/2025,Root Touch-up,ADDM01,SARAH,1,90,4.5,7.2,,100,0,,
33704,05/07/2025,Type 1 Haircut,STRS01,BECKY,1,65,3.25,5.2,,100,0,,
33705,05/07/2025,full head highlights,STEA04,JOANNE,1,190,9.5,15.2,,100,0,,
33706,05/07/2025,Type 2 Haircut,KEOE01,ANTONELLA,1,100,5,8,,100,0,,
33707,05/07/2025,Type 1 Haircut,WHYL01,JJ,1,80,4,6.4,,100,0,,
33708,05/07/2025,Type 2 Haircut,GUEE01,BECKY,1,100,5,8,,100,0,,
33709,05/07/2025,Type 1 Haircut,GREG01,ANTONELLA,1,80,4,6.4,,100,0,,
33709,05/07/2025,misc retail,GREG01,ANTONELLA,1,32,1.6,2.56,,0,0,,
33710,05/07/2025,Type 1 Haircut,CALC04,JJ,1,80,4,6.4,,100,0,,
33710,05/07/2025,misc retail,CALC04,JJ,1,38.5,1.925,3.08,,0,0,,
33710,05/07/2025,misc retail,CALC04,JJ,1,27.3,1.365,2.184,,0,0,,
33711,05/07/2025,Blowdry,KILJ01,ASAMI,1,55,2.75,4.4,,100,0,,
33712,05/07/2025,Type 1 Haircut,SPEJ03,JJ,1,80,4,6.4,,100,0,,
33713,05/07/2025,Type 2 Haircut,CHAA01,ANTONELLA,1,100,5,8,,100,0,,
33713,05/07/2025,misc retail,CHAA01,ANTONELLA,1,32,1.6,2.56,,0,0,,
33714,05/07/2025,Type 1 Haircut,RADA01,JJ,1,80,4,6.4,,100,0,,
33715,05/07/2025,Milbon Treatment Add-on,TENA01,OLGA,1,65,3.25,5.2,,100,0,,
33715,05/07/2025,Type 2 Haircut,TENA01,OLGA,1,90,4.5,7.2,,100,0,,
33715,05/07/2025,Toner Add-on,TENA01,OLGA,1,50,2.5,4,,100,0,,
33716,05/08/2025,Type 2 Haircut,SCOL01,JJ,1,105,5.25,8.4,,100,0,,
33717,05/08/2025,Blowdry,GORS01,ASAMI,1,55,2.75,4.4,,100,0,,
33718,05/08/2025,Type 2 Haircut,MACD04,BECKY,1,100,5,8,,100,0,,
